OPENADMET_CANONICAL_SMILES,PXR_pEC50,source,dataset,InChI
CCCn1c(C)c(C(=O)c2cccc3ccccc23)c2ccccc21,5.58,ChEMBL,train,LJSBBBWQTLXQEN-UHFFFAOYSA-N
O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2,4.5,ChEMBL,train,FJUKDAZEABGEIH-UHFFFAOYSA-N
O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12,5.5,ChEMBL,train,CZTQZXZIADLWOZ-CRAIPNDOSA-N
CN[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,4.875,ChEMBL,train,NNJPGOLRFBJNIW-HNNXBMFYSA-N
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,4.7,ChEMBL,train,QXRSDHAAWVKZLJ-PVYNADRNSA-N
COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,4.5,ChEMBL,train,OUJTZYPIHDYQMC-LJQANCHMSA-N
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1[S+]([O-])C(F)(F)F,4.82,ChEMBL,train,ZOCSXAVNDGMNBV-UHFFFAOYSA-N
CC/C(=C(/CC)c1ccc(OC)cc1)c1ccc(OC)cc1,4.98,ChEMBL,train,VQOAQMIKPYNCMV-FMQUCBEESA-N
O=C(O)CCCC[C@@H]1CCSS1,5.55,ChEMBL,train,AGBQKNBQESQNJD-SSDOTTSWSA-N
Clc1cc(Cl)c(OCC#CI)cc1Cl,5.0,ChEMBL,train,CTETYYAZBPJBHE-UHFFFAOYSA-N
CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,4.949999999999999,ChEMBL,train,BLSQLHNBWJLIBQ-OZXSUGGESA-N
CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1.Cl,4.85,ChEMBL,train,FHIKZROVIDCMJA-UHFFFAOYSA-N
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,5.175,ChEMBL,train,AHLBNYSZXLDEJQ-FWEHEUNISA-N
C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,5.71,ChEMBL,train,VWUXBMIQPBEWFH-WCCTWKNTSA-N
C[C@H]1CCC[C@H](O)CCC/C=C/c2cc(O)cc(O)c2C(=O)O1,4.85,ChEMBL,train,FPQFYIAXQDXNOR-QDKLYSGJSA-N
O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,5.28,ChEMBL,train,QEMCDXCXSVPAAB-UHFFFAOYSA-N
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,5.85,ChEMBL,train,JQXXHWHPUNPDRT-WLSIYKJHSA-N
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,6.41,ChEMBL,train,UIAGMCDKSXEBJQ-UHFFFAOYSA-N
