idx,canonical_smiles,chembl_id
3,Cc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL5284444
3,Cc1ccc(-c2cccc(S(=O)(=O)O)c2-c2nnn[nH]2)cc1,CHEMBL5291449
3,N#Cc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL5824823
3,CNS(=O)(=O)c1cccc(-c2ccc(C)cc2)c1-c1nnn[nH]1,CHEMBL5285776
3,CNCc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL5956338
3,NC(=O)Cc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL5844997
3,CN(C)Cc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL5866512
3,NCCc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL5918584
3,NCC(CN)c1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL5845205
3,Cc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cn1,CHEMBL5775803
3,CCOCc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL6033347
3,NS(=O)(=O)c1cccc(-c2ccc(C(O)C(F)F)cc2)c1-c1nnn[nH]1,CHEMBL5794742
3,NCCCc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL5958295
3,Nc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cn1,CHEMBL5861607
3,NS(=O)(=O)c1cccc(-c2ccc(CO)nc2)c1-c1nnn[nH]1,CHEMBL5971982
3,Nc1ncc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cn1,CHEMBL5881150
3,Nc1cc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc(N)n1,CHEMBL5943370
3,NS(=O)(=O)c1cccc(-c2cc(F)cc(F)c2)c1-c1nnn[nH]1,CHEMBL5969936
3,CN(CCO)Cc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL5924568
3,NS(=O)(=O)c1cccc(-c2ccc(CNCCO)cc2)c1-c1nnn[nH]1,CHEMBL6023411
3,C[C@H]1NC(=O)O[C@H]1c1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL5969900
3,C[C@@H]1NC(=O)O[C@H]1c1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL5820458
3,CN1CCN(Cc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)CC1,CHEMBL5803310
3,NS(=O)(=O)c1cccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)c1,CHEMBL5753876
3,NCc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cn1,CHEMBL6045899
3,NS(=O)(=O)c1cccc(-c2ccc(C3CCNC3)cc2)c1-c1nnn[nH]1,CHEMBL5871395
3,NS(=O)(=O)c1cccc(-c2ccc(CNC(CO)CO)cc2)c1-c1nnn[nH]1,CHEMBL6057932
3,COc1cc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)ccn1,CHEMBL5884753
3,CN(CC(=O)O)Cc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL6004274
3,NS(=O)(=O)c1cccc(-c2cccc(CO)c2)c1-c1nnn[nH]1,CHEMBL5873529
3,NS(=O)(=O)c1cccc(-c2ccc(C3CCNC3=O)cc2)c1-c1nnn[nH]1,CHEMBL6019593
3,NC(=O)CNCc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL5898324
